4, 57360, Note_off_c, 0, 59, 80
4, 57360, Note_on_c, 1, 58, 111
4, 57360, Pitch_bend_c, 1, 8192
4, 57392, Pitch_bend_c, 1, 8320
4, 57424, Pitch_bend_c, 1, 8448
4, 57472, Pitch_bend_c, 1, 8576
4, 57504, Pitch_bend_c, 1, 8704
4, 57552, Pitch_bend_c, 1, 8832
4, 57780, Note_off_c, 1, 58, 80
4, 57780, Pitch_bend_c, 1, 8192
4, 57840, Note_on_c, 0, 57, 111
4, 58080, Note_off_c, 0, 57, 80
4, 58080, Note_on_c, 0, 57, 111
4, 58800, Note_off_c, 0, 57, 80
4, 58800, Note_on_c, 0, 52, 111
4, 59040, Note_off_c, 0, 52, 80
4, 59040, Note_on_c, 0, 55, 111
4, 59280, Note_off_c, 0, 55, 80
4, 59280, Note_on_c, 0, 52, 111
4, 59520, Note_off_c, 0, 52, 80
4, 59520, Note_on_c, 0, 57, 111
4, 60960, Note_off_c, 0, 57, 80
4, 61200, Note_on_c, 0, 59, 111
4, 63360, Note_off_c, 0, 59, 80
4, 63600, Note_on_c, 0, 60, 111
4, 63600, Note_on_c, 0, 57, 111
4, 63840, Note_off_c, 0, 60, 80
4, 63840, Note_off_c, 0, 57, 80
4, 63840, Note_on_c, 0, 60, 111
4, 63840, Note_on_c, 0, 57, 111
4, 64320, Note_off_c, 0, 60, 80
4, 64320, Note_off_c, 0, 57, 80
4, 64320, Note_on_c, 0, 60, 111
4, 64320, Note_on_c, 0, 57, 111
4, 64560, Note_off_c, 0, 60, 80
4, 64560, Note_off_c, 0, 57, 80
4, 64560, Note_on_c, 0, 60, 111
4, 64560, Note_on_c, 0, 57, 111
4, 64800, Note_off_c, 0, 60, 80
4, 64800, Note_off_c, 0, 57, 80
4, 64800, Note_on_c, 0, 62, 111
4, 64800, Note_on_c, 0, 59, 111
4, 65040, Note_off_c, 0, 62, 80
4, 65040, Note_off_c, 0, 59, 80
4, 65040, Note_on_c, 1, 58, 111
4, 65040, Pitch_bend_c, 1, 8192
4, 65072, Pitch_bend_c, 1, 8320
4, 65104, Pitch_bend_c, 1, 8448
4, 65152, Pitch_bend_c, 1, 8576
4, 65184, Pitch_bend_c, 1, 8704
4, 65232, Pitch_bend_c, 1, 8832
4, 65460, Note_off_c, 1, 58, 80
4, 65460, Pitch_bend_c, 1, 8192
4, 65520, Note_on_c, 0, 57, 111
4, 65760, Note_off_c, 0, 57, 80
4, 65760, Note_on_c, 0, 57, 111
4, 66480, Note_off_c, 0, 57, 80
4, 66480, Note_on_c, 0, 52, 111
4, 66720, Note_off_c, 0, 52, 80
4, 66720, Note_on_c, 0, 55, 111
4, 66960, Note_off_c, 0, 55, 80
4, 66960, Note_on_c, 0, 52, 111
4, 67200, Note_off_c, 0, 52, 80
4, 67200, Note_on_c, 0, 57, 111
4, 68640, Note_off_c, 0, 57, 80
4, 68880, Note_on_c, 0, 59, 111
4, 71040, Note_off_c, 0, 59, 80
4, 71280, Note_on_c, 0, 60, 111
4, 71280, Note_on_c, 0, 57, 111
4, 71520, Note_off_c, 0, 60, 80
4, 71520, Note_off_c, 0, 57, 80
4, 71520, Note_on_c, 0, 60, 111
4, 71520, Note_on_c, 0, 57, 111
4, 72000, Note_off_c, 0, 60, 80
4, 72000, Note_off_c, 0, 57, 80
4, 72000, Note_on_c, 0, 60, 111
4, 72000, Note_on_c, 0, 57, 111
4, 72240, Note_off_c, 0, 60, 80
4, 72240, Note_off_c, 0, 57, 80
4, 72240, Note_on_c, 0, 60, 111
4, 72240, Note_on_c, 0, 57, 111
4, 72480, Note_off_c, 0, 60, 80
4, 72480, Note_off_c, 0, 57, 80
4, 72480, Note_on_c, 0, 62, 111
4, 72480, Note_on_c, 0, 59, 111
4, 72720, Note_off_c, 0, 62, 80
4, 72720, Note_off_c, 0, 59, 80
4, 72720, Note_on_c, 1, 58, 111
4, 72720, Pitch_bend_c, 1, 8192
4, 72752, Pitch_bend_c, 1, 8320
4, 72784, Pitch_bend_c, 1, 8448
4, 72832, Pitch_bend_c, 1, 8576
4, 72864, Pitch_bend_c, 1, 8704
4, 72912, Pitch_bend_c, 1, 8832
4, 73140, Note_off_c, 1, 58, 80
4, 73140, Pitch_bend_c, 1, 8192
4, 73200, Note_on_c, 0, 57, 111
4, 73440, Note_off_c, 0, 57, 80
4, 73440, Note_on_c, 0, 57, 111
4, 74160, Note_off_c, 0, 57, 80
4, 74160, Note_on_c, 0, 52, 111
4, 74400, Note_off_c, 0, 52, 80
4, 74400, Note_on_c, 0, 55, 111
4, 74640, Note_off_c, 0, 55, 80
4, 74640, Note_on_c, 0, 52, 111
4, 74880, Note_off_c, 0, 52, 80
4, 74880, Note_on_c, 0, 57, 111
4, 76320, Note_off_c, 0, 57, 80
4, 76560, Note_on_c, 0, 59, 111
4, 78720, Note_off_c, 0, 59, 80
4, 78960, Note_on_c, 0, 60, 111
4, 78960, Note_on_c, 0, 57, 111
4, 79200, Note_off_c, 0, 60, 80
4, 79200, Note_off_c, 0, 57, 80
4, 79200, Note_on_c, 0, 60, 111
4, 79200, Note_on_c, 0, 57, 111
4, 79680, Note_off_c, 0, 60, 80
4, 79680, Note_off_c, 0, 57, 80
4, 79680, Note_on_c, 0, 60, 111
4, 79680, Note_on_c, 0, 57, 111
4, 79920, Note_off_c, 0, 60, 80
4, 79920, Note_off_c, 0, 57, 80
4, 79920, Note_on_c, 0, 60, 111
4, 79920, Note_on_c, 0, 57, 111
4, 80160, Note_off_c, 0, 60, 80
4, 80160, Note_off_c, 0, 57, 80
