['2', ' 0', ' 3', ' 0', ' 0']
['3', ' 33664', ' 0', ' 1', ' 69', ' 64']
['3', ' 33792', ' 1', ' 1', ' 76', ' 79']
['3', ' 33856', ' 0', ' 1', ' 76', ' 64']
['3', ' 33984', ' 1', ' 1', ' 67', ' 79']
['3', ' 34048', ' 0', ' 1', ' 67', ' 64']
['3', ' 34080', ' 1', ' 1', ' 69', ' 79']
['3', ' 34240', ' 0', ' 1', ' 69', ' 64']
['3', ' 34272', ' 1', ' 1', ' 69', ' 79']
['3', ' 34336', ' 0', ' 1', ' 69', ' 64']
['3', ' 34464', ' 1', ' 1', ' 76', ' 79']
['3', ' 34528', ' 0', ' 1', ' 76', ' 64']
['3', ' 34560', ' 1', ' 1', ' 77', ' 79']
['3', ' 34656', ' 0', ' 1', ' 77', ' 64']
['3', ' 34656', ' 1', ' 1', ' 76', ' 79']
['3', ' 34752', ' 0', ' 1', ' 76', ' 64']
['3', ' 34752', ' 1', ' 1', ' 74', ' 79']
['3', ' 34816', ' 0', ' 1', ' 74', ' 64']
['3', ' 34848', ' 1', ' 1', ' 72', ' 79']
['3', ' 34912', ' 0', ' 1', ' 72', ' 64']
['3', ' 34944', ' 1', ' 1', ' 76', ' 79']
['3', ' 35072', ' 0', ' 1', ' 76', ' 64']
['3', ' 35136', ' 1', ' 1', ' 74', ' 79']
['3', ' 35232', ' 0', ' 1', ' 74', ' 64']
['3', ' 35232', ' 1', ' 1', ' 72', ' 79']
['3', ' 35296', ' 0', ' 1', ' 72', ' 64']
['3', ' 36096', ' 1', ' 1', ' 76', ' 79']
['3', ' 36160', ' 0', ' 1', ' 76', ' 64']
['3', ' 36192', ' 1', ' 1', ' 67', ' 79']
['3', ' 36256', ' 0', ' 1', ' 67', ' 64']
['3', ' 36288', ' 1', ' 1', ' 67', ' 79']
['3', ' 36352', ' 0', ' 1', ' 67', ' 64']
['3', ' 36384', ' 1', ' 1', ' 69', ' 79']
['3', ' 36544', ' 0', ' 1', ' 69', ' 64']
['3', ' 36576', ' 1', ' 1', ' 69', ' 79']
['3', ' 36736', ' 0', ' 1', ' 69', ' 64']
['3', ' 36864', ' 1', ' 1', ' 76', ' 79']
['3', ' 36928', ' 0', ' 1', ' 76', ' 64']
['3', ' 37056', ' 1', ' 1', ' 67', ' 79']
['3', ' 37120', ' 0', ' 1', ' 67', ' 64']
['3', ' 37152', ' 1', ' 1', ' 69', ' 79']
['3', ' 37312', ' 0', ' 1', ' 69', ' 64']
['3', ' 37344', ' 1', ' 1', ' 69', ' 79']
['3', ' 37408', ' 0', ' 1', ' 69', ' 64']
['3', ' 37536', ' 1', ' 1', ' 69', ' 79']
['3', ' 37600', ' 0', ' 1', ' 69', ' 64']
['3', ' 37632', ' 1', ' 1', ' 69', ' 79']
['3', ' 37696', ' 0', ' 1', ' 69', ' 64']
['3', ' 37728', ' 1', ' 1', ' 69', ' 79']
['3', ' 37792', ' 0', ' 1', ' 69', ' 64']
['3', ' 37824', ' 1', ' 1', ' 69', ' 79']
['3', ' 37888', ' 0', ' 1', ' 69', ' 64']
['3', ' 37920', ' 1', ' 1', ' 69', ' 79']
['3', ' 37984', ' 0', ' 1', ' 69', ' 64']
['3', ' 38016', ' 1', ' 1', ' 72', ' 79']
['3', ' 38080', ' 0', ' 1', ' 72', ' 64']
['3', ' 38112', ' 1', ' 1', ' 69', ' 79']
['3', ' 38336', ' 0', ' 1', ' 69', ' 64']
['3', ' 38880', ' 1', ' 1', ' 69', ' 79']
['3', ' 39040', ' 0', ' 1', ' 69', ' 64']
['3', ' 39072', ' 1', ' 1', ' 67', ' 79']
['3', ' 39136', ' 0', ' 1', ' 67', ' 64']
['3', ' 39168', ' 1', ' 1', ' 69', ' 79']
['3', ' 39232', ' 0', ' 1', ' 69', ' 64']
['3', ' 39264', ' 1', ' 1', ' 69', ' 79']
['3', ' 39328', ' 0', ' 1', ' 69', ' 64']
['3', ' 39360', ' 1', ' 1', ' 69', ' 79']
['3', ' 39424', ' 0', ' 1', ' 69', ' 64']
['3', ' 39456', ' 1', ' 1', ' 69', ' 79']
['3', ' 39520', ' 0', ' 1', ' 69', ' 64']
['3', ' 39552', ' 1', ' 1', ' 69', ' 79']
['3', ' 39804', ' 0', ' 1', ' 69', ' 64']
['3', ' 40608', ' 1', ' 1', ' 69', ' 79']
['3', ' 40672', ' 0', ' 1', ' 69', ' 64']
['3', ' 40704', ' 1', ' 1', ' 69', ' 79']
['3', ' 40768', ' 0', ' 1', ' 69', ' 64']
['3', ' 40800', ' 1', ' 1', ' 69', ' 79']
['3', ' 40960', ' 0', ' 1', ' 69', ' 64']
['3', ' 40992', ' 1', ' 1', ' 69', ' 79']
['3', ' 41024', ' 0', ' 1', ' 69', ' 64']
['3', ' 41040', ' 1', ' 1', ' 69', ' 79']
['3', ' 41072', ' 0', ' 1', ' 69', ' 64']
['3', ' 41088', ' 1', ' 1', ' 72', ' 79']
['3', ' 41280', ' 0', ' 1', ' 72', ' 64']
['3', ' 41952', ' 1', ' 1', ' 69', ' 79']
['3', ' 42016', ' 0', ' 1', ' 69', ' 64']
