['2', ' 0', ' 3', ' 0', ' 101']
['3', ' 100980', ' 1', ' 1', ' 67', ' 100']
['3', ' 100986', ' 1', ' 1', ' 67', ' 0']
['3', ' 101032', ' 1', ' 1', ' 70', ' 100']
['3', ' 101040', ' 1', ' 1', ' 67', ' 0']
['3', ' 101092', ' 1', ' 1', ' 70', ' 0']
['3', ' 101102', ' 1', ' 1', ' 70', ' 100']
['3', ' 101140', ' 1', ' 1', ' 72', ' 100']
['3', ' 101162', ' 1', ' 1', ' 70', ' 0']
['3', ' 101440', ' 1', ' 1', ' 72', ' 0']
['3', ' 101830', ' 1', ' 1', ' 72', ' 100']
['3', ' 101890', ' 1', ' 1', ' 72', ' 0']
['3', ' 101894', ' 1', ' 1', ' 70', ' 100']
['3', ' 101992', ' 1', ' 1', ' 70', ' 100']
['3', ' 102014', ' 1', ' 1', ' 70', ' 0']
['3', ' 102029', ' 1', ' 1', ' 72', ' 100']
['3', ' 102112', ' 1', ' 1', ' 70', ' 0']
['3', ' 102389', ' 1', ' 1', ' 72', ' 0']
['3', ' 102480', ' 1', ' 1', ' 64', ' 100']
['3', ' 102600', ' 1', ' 1', ' 64', ' 0']
['3', ' 102600', ' 1', ' 1', ' 65', ' 100']
['3', ' 102720', ' 1', ' 1', ' 65', ' 0']
['3', ' 102720', ' 1', ' 1', ' 67', ' 100']
['3', ' 102840', ' 1', ' 1', ' 67', ' 0']
['3', ' 102854', ' 1', ' 1', ' 70', ' 100']
['3', ' 102960', ' 1', ' 1', ' 72', ' 100']
['3', ' 102974', ' 1', ' 1', ' 70', ' 0']
['3', ' 103552', ' 1', ' 1', ' 72', ' 100']
['3', ' 103560', ' 1', ' 1', ' 72', ' 0']
['3', ' 104152', ' 1', ' 1', ' 72', ' 0']
['4', ' 0', ' 3', ' 2', ' 42']
['4', ' 0', ' 2', ' 2', ' 7', ' 100']
['4', ' 0', ' 2', ' 2', ' 10', ' 74']
['4', ' 0', ' 2', ' 2', ' 91', ' 100']
['4', ' 0', ' 2', ' 2', ' 93', ' 0']
['4', ' 0', ' 2', ' 2', ' 123', ' 0']
['4', ' 960', ' 1', ' 2', ' 60', ' 100']
['4', ' 1920', ' 1', ' 2', ' 60', ' 0']
['4', ' 1920', ' 1', ' 2', ' 64', ' 100']
['4', ' 2040', ' 1', ' 2', ' 64', ' 0']
['4', ' 2040', ' 1', ' 2', ' 65', ' 100']
['4', ' 2160', ' 1', ' 2', ' 65', ' 0']
['4', ' 2160', ' 1', ' 2', ' 67', ' 100']
['4', ' 2280', ' 1', ' 2', ' 67', ' 0']
['4', ' 2280', ' 1', ' 2', ' 70', ' 100']
['4', ' 2400', ' 1', ' 2', ' 70', ' 0']
['4', ' 2400', ' 1', ' 2', ' 72', ' 100']
['4', ' 2760', ' 1', ' 2', ' 72', ' 0']
['4', ' 2760', ' 1', ' 2', ' 70', ' 100']
['4', ' 2880', ' 1', ' 2', ' 70', ' 0']
['4', ' 2880', ' 1', ' 2', ' 72', ' 100']
['4', ' 3240', ' 1', ' 2', ' 72', ' 0']
['4', ' 3240', ' 1', ' 2', ' 70', ' 100']
['4', ' 3360', ' 1', ' 2', ' 70', ' 0']
['4', ' 3360', ' 1', ' 2', ' 72', ' 100']
['4', ' 3720', ' 1', ' 2', ' 72', ' 0']
['4', ' 3720', ' 1', ' 2', ' 70', ' 100']
['4', ' 4320', ' 1', ' 2', ' 70', ' 0']
['4', ' 4320', ' 1', ' 2', ' 67', ' 100']
['4', ' 4440', ' 1', ' 2', ' 67', ' 0']
['4', ' 4440', ' 1', ' 2', ' 70', ' 100']
['4', ' 4560', ' 1', ' 2', ' 70', ' 0']
['4', ' 4560', ' 1', ' 2', ' 67', ' 100']
['4', ' 4680', ' 1', ' 2', ' 67', ' 0']
['4', ' 4680', ' 1', ' 2', ' 65', ' 100']
['4', ' 5040', ' 1', ' 2', ' 65', ' 0']
['4', ' 5040', ' 1', ' 2', ' 64', ' 100']
['4', ' 5160', ' 1', ' 2', ' 64', ' 0']
['4', ' 5160', ' 1', ' 2', ' 65', ' 100']
['4', ' 5520', ' 1', ' 2', ' 65', ' 0']
['4', ' 5520', ' 1', ' 2', ' 64', ' 100']
['4', ' 5640', ' 1', ' 2', ' 64', ' 0']
['4', ' 5640', ' 1', ' 2', ' 65', ' 100']
['4', ' 5698', ' 1', ' 2', ' 65', ' 0']
['4', ' 5700', ' 1', ' 2', ' 64', ' 100']
['4', ' 5758', ' 1', ' 2', ' 64', ' 0']
['4', ' 5760', ' 1', ' 2', ' 65', ' 100']
['4', ' 6000', ' 1', ' 2', ' 65', ' 0']
['4', ' 6000', ' 1', ' 2', ' 64', ' 100']
['4', ' 6120', ' 1', ' 2', ' 64', ' 0']
['4', ' 6120', ' 1', ' 2', ' 60', ' 100']
['4', ' 6240', ' 1', ' 2', ' 60', ' 0']
['4', ' 6240', ' 1', ' 2', ' 60', ' 100']
['4', ' 11520', ' 1', ' 2', ' 60', ' 0']
['4', ' 11520', ' 1', ' 2', ' 64', ' 100']
['4', ' 11760', ' 1', ' 2', ' 64', ' 0']
['4', ' 11760', ' 1', ' 2', ' 65', ' 100']
['4', ' 12000', ' 1', ' 2', ' 65', ' 0']
['4', ' 12000', ' 1', ' 2', ' 67', ' 100']
['4', ' 12480', ' 1', ' 2', ' 67', ' 0']
['4', ' 12480', ' 1', ' 2', ' 70', ' 100']
['4', ' 13680', ' 1', ' 2', ' 70', ' 0']
['4', ' 13680', ' 1', ' 2', ' 70', ' 100']
['4', ' 13920', ' 1', ' 2', ' 70', ' 0']
['4', ' 13920', ' 1', ' 2', ' 69', ' 100']
['4', ' 14400', ' 1', ' 2', ' 69', ' 0']
['4', ' 14400', ' 1', ' 2', ' 64', ' 100']
